"","x"
"1","When a fire takes a home, it's a disaster. Help the Red Cross #GiveWhatFireTakes http://t.co/NQReUGkOWv"
"2","When a fire takes a home, it's a disaster. Help the Red Cross #GiveWhatFireTakes: http://t.co/NQReUGkOWv"
"3","Here's three tips for dealing with extreme #winter weather http://t.co/qlgtCyA8pU"
"4","Frozen pipes, dressing in layers, generators and more. Tips to stay safe and warm this wknd: http://t.co/UCUD3GRTEr http://t.co/7cAdURHB5Y"
"5","Sending a special  #valentines shout out everyone in our #RedCross family! Have a great day! http://t.co/ohVjO7e3b9"
"6","Clarence Barton has bad pick up lines, but good #firesafety tips! http://t.co/8ivVd7s4Aw https://t.co/KelHhwLjED #VDay"
"7","When a fire takes a home, it's a disaster. Help the Red Cross #GiveWhatFireTakes: http://t.co/64nXJLnszt #FireSafetyFriday"
"8","When a fire takes a home, it's a disaster. Help the Red Cross #GiveWhatFireTakes: http://t.co/64nXJLnszt http://t.co/W3Axev7TJX"
"9","What's in your winter car kit? Hopefully more than a snow scraper. Here's 8 other things: http://t.co/DIHhz5xml5 https://t.co/qNmvBPBPPt"
"10","Thank you @Warcraft community for raising $1.9 million for our Ebola relief work! http://t.co/v1GbWe2577"
"11","This Valentine's Day, give a gift that helps save lives. Make an appointment today: http://t.co/HUbKP8JS0S http://t.co/L7hyMrVJj1"
"12","When a fire takes a home, it's a disaster. Help the Red Cross #GiveWhatFireTakes: http://t.co/64nXJLnszt"
"13","When a fire takes a home, it's a disaster. Help the Red Cross: http://t.co/64nXJLnszt #GiveWhatFireTakes"
"14","When a fire takes a home, it's a disaster. Help the Red Cross: http://t.co/64nXJLnszt #GiveWhatFireTakes http://t.co/UputawZjBa"
"15","Every 8 minutes fire takes security. Will you help us #GiveWhatFireTakes? Donate today: http://t.co/64nXJLnszt"
"16","When are shoes suddenly extraordinary? After a home fire. Help us #GiveWhatFireTakes: http://t.co/M46XmgdwwP http://t.co/wVnNKwp9sV"
"17","Find out more about the #Measles &amp; Rubella Initiative and our work to help stop these diseases from spreading: http://t.co/uy9qulce75"
"18","As temps in Syria plummet, see how the Syrian Arab Red Crescent provides support: http://t.co/KqobvEAe3p http://t.co/G55S1kr1m1"
"19","Before the pups take the field, here's our advice to the #PuppyBowl refs #PetFirstAid #PetSafety
https://t.co/mEM2LM6Plq"
"20","Prepping for your Super Bowl party? Make sure kitchen safety is part  of  the game plan: http://t.co/svzqZWKq8d http://t.co/NtUKHzvj5b"
"21","@embosi @UNlFORM download our #firstaid app here: http://t.co/wdxdBDzHlt for steps to take to help your friend.  if it gets worse call 911."
"22","A big shout out to @thedoctors for a fantastic blood drive! Thx for highlighting the need for eligible blood donors! http://t.co/PSux3Gz2mi"
"23","In a home fire, no item is worth your life. http://t.co/JfexwsI11b #FireSafetyFriday http://t.co/cNjnnuCwNy"
"24","#TBT to 1949. There's a new way to roll up your sleeves w/ our #SleevesUp virtual blood drive:http://t.co/75YtdBDxkM http://t.co/624gFV9Y8E"
"25","Thanks @WalmartGiving for helping us fund training for 2,500 students in our Nurse Assistant Training program: http://t.co/eGMYsHtGkN"
"26","A winter storm impact you may not have thought of: fewer blood donations. Learn more: http://t.co/9sogBkLP6i http://t.co/7uV3fJV3n3"
"27","Good advice RT @Readygov: Help spread the word - 3 important ways to stay safe during #blizzardof2015 http://t.co/YsX8jNCIFM"
"28","Stay safe w/these top 10 winter safety tips for #Snowmageddon2015: http://t.co/nBFyxPlfP7"
"29","Get ready for #Snowmageddon2015 with our winter weather safety tips: https://t.co/6ebqf5ZuUg"
"30","@MySavannahLynne happy birthday Savannah and thanks for giving the gift of life to others on your special day!"
"31","Do you really know how you would handle a home fire? Take this quiz to learn more about yourself. http://t.co/kRY4au9PgU #FireSafetyFriday"
"32","It's #FireSafetyFriday: Know the drill about handling a home fire? Take the quiz: http://t.co/kRY4au9PgU #firesafety http://t.co/lb5HfvZm08"
"33","Live in an apartment? Know what to do if a fire breaks out? See the #RedCross response in NJ: http://t.co/z2hNmQuR1z http://t.co/bRTQKI8foJ"
"34","Are your kids #RedCross ready? Take time during Youth Preparedness Wk  to make sure they're prepared for anything: http://t.co/DmeOk3Z7fn"
"35","#SleevesUp is a first-of-its-kind website where you help create virtual blood drives: http://t.co/AGjfaAHotA http://t.co/2P6kXB4lY9"
"36","Red Crossers around the country installed smoke alarms &amp; #firesafety info for #MLKDay wknd:http://t.co/HhnOtOmvEn http://t.co/t6CQhbnyDo"
"37","[VIDEO] This woman survived two apartment fires. Here's how the #RedCross was there to help: http://t.co/ulqDxGdPnE
https://t.co/ReIU1wWwNy"
"38","Find out how #RedCross gives help &amp; hope to those who have lost everything after a home fire: http://t.co/TFvlQTDeAj http://t.co/wcnDL2IYnD"
"39","Did you know @Intlfamilylinks reconnects families separated by migration?Join #MigrationMatters Hangout:http://t.co/hHm4GxHzKu"
"40","#RedCross flu tip: Soap it and stop it! Get other flu tips here: http://t.co/VM4h8k5FnF #abcDrBchat"
"41","Today at 1pm ET: Dr. Pellegrino (@jumpnjeffrey) joins @abcDrBchat to talk about the #flu. Use #abcDrBchat to ask Qs!"
